concept_code,symptom,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,p_target_given_code,p_target_given_no_code,risk_diff,odds_ratio,LR_pos
30158-Symtpom_Neuro-6,Unusual shivering or shaking,6,2,46,472,0.7222222222222222,0.08959537572254335,0.6326268464996788,26.419354838709676,23.30188679245283
30158-Symtpom_Neuro-8,Loss of taste,20,8,32,466,0.7068965517241379,0.06513026052104208,0.6417662912030958,34.618099547511314,21.614872364039957
30158-Symtpom_Neuro-7,Loss of smell,24,11,28,463,0.6805555555555556,0.057926829268292686,0.6226287262872628,34.64759725400457,19.0935192780968
30158-Symtpom_Neuro-3,Loss of balance,10,6,42,468,0.6176470588235294,0.08317025440313111,0.5344768044203984,17.807239819004526,14.477503628447025
30158-Symtpom_Neuro-5,New confusion,5,4,47,470,0.55,0.0916988416988417,0.45830115830115836,12.106432748538012,10.953878406708595
30153-Symptoms-6,Chills,25,21,27,453,0.5425531914893617,0.057172557172557176,0.48538063431680445,19.558985200845665,10.62966213251426
30154-Symptoms_Resp-4,Difficulty breathing,16,16,36,458,0.5,0.07373737373737374,0.42626262626262623,12.561643835616438,8.962264150943396
30158-Symtpom_Neuro-4,Slurred speech,1,1,51,473,0.5,0.0980952380952381,0.4019047619047619,9.194174757281553,8.962264150943396
30160-Symptom_Inflamm-3,Red or purple rash or lesions on your toes,0,0,52,474,0.5,0.09962049335863378,0.40037950664136623,9.038095238095238,8.962264150943396
30160-Symptom_Inflamm-5,Excessive sweating,15,17,37,457,0.4696969696969697,0.07575757575757576,0.393939393939394,10.805714285714286,7.93800539083558
30156-Symptom_GI-4,Change in or loss of appetite,22,27,30,447,0.45,0.06380753138075314,0.3861924686192469,12.004470938897168,7.332761578044598
30154-Symptoms_Resp-5,Wheezing,10,13,42,461,0.4375,0.08432539682539683,0.35317460317460314,8.445751633986928,6.970649895178197
